"BUSLIC_ID","BUSLIC_TRADE_NAME","BUSLIC_PHONE_NUM","NAICS DESC","ADDRESS","BUSLIC_OPENDATE","BUSLIC_BUSINESS_ID","WKT"
735950,"MORSEL",2062182589,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","5000 UNIVERSITY WAY NE # D, SEATTLE, WA 98105-4673","05/01/2018",774051,"POINT (-122.312804 47.665028)"
771819,"SNOWY VILLAGE",2067081111,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","5264 UNIVERSITY WAY NE, SEATTLE, WA 98105-3519","05/01/2019",856803,"POINT (-122.312758 47.66827)"
699280,"HOTWIRE COFFEE HOUSE",2069351510,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4410 CALIFORNIA AVE SW, SEATTLE, WA 98116-4109","08/18/2016",800475,"POINT (-122.386525 47.564359)"
783939,"HYDRATE JUICE BAR",3047671771,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2025 1ST AVE # D, SEATTLE, WA 98121-2100","11/01/2022",866273,"POINT (-122.344015 47.611559)"
653494,"TOP POT DOUGHNUTS",2067281986,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","888 WESTERN AVE # E, SEATTLE, WA 98104-1466","04/15/2014",596258,"POINT (-122.336151 47.603356)"
601648,"STARBUCKS COFFEE  15253",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2401 UTAH AVE S # 8TH FL, SEATTLE, WA 98134","03/01/2011",105444,"POINT (-122.335343 47.581813)"
789006,"THE SEATTLE GRIND",2064229525,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","516 HARRISON ST, SEATTLE, WA 98109-4557","08/31/2023",870217,"POINT (-122.3469 47.622743)"
764621,"DING TEA SEATTLE",2534551359,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4725 UNIVERSITY WAY NE, SEATTLE, WA 98105-4412","11/12/2020",850655,"POINT (-122.313447 47.663825)"
575891,"CAFE WEEKEND",2067748730,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","851 HIAWATHA PL S, SEATTLE, WA 98144-2823","01/01/2009",717359,"POINT (-122.309467 47.594653)"
796691,"ANCIENT GATE COFFEE",8592295770,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4530 UNIVERSITY WAY NE, SEATTLE, WA 98105-4511","09/14/2024",876330,"POINT (-122.312795 47.662224)"
643986,"TOP POT DOUGHNUTS",2067087244,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1206 MADISON ST, SEATTLE, WA 98104-1337","09/03/2013",596258,"POINT (-122.323999 47.610223)"
600592,"ANALOG COFFEE",2066614794,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","235 SUMMIT AVE E, SEATTLE, WA 98102-5618","01/29/2011",734106,"POINT (-122.325543 47.620681)"
794925,"HUGOS SHAVE ICE",2062009311,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4708 BURKE AVE N, SEATTLE, WA 98103-6820","03/19/2024",874918,"POINT (-122.33493 47.663177)"
762623,"BLUE SAUCER",2064534955,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","9127 ROOSEVELT WAY NE, SEATTLE, WA 98115-2839","06/01/2020",848933,"POINT (-122.317882 47.695729)"
745182,"DISTANT WORLDS COFFEEHOUSE",9496909834,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","6417 ROOSEVELT WAY NE # 104, SEATTLE, WA 98115-6657","03/20/2019",834470,"POINT (-122.317685 47.675589)"
798263,"TOP POT DOUGHNUTS",2066312049,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4709 CALIFORNIA AVE SW, SEATTLE, WA 98116-4412","08/01/2024",596258,"POINT (-122.387103 47.560864)"
778118,"JAVA BROTHERS CAFE LLC",2064963430,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2312 3RD AVE # 101, SEATTLE, WA 98121-1746","04/20/2022",861658,"POINT (-122.345146 47.615337)"
777928,"TIGER SUGAR",9178192686,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1430 2ND AVE, SEATTLE, WA 98101-3363","06/18/2022",861505,"POINT (-122.338306 47.609112)"
771868,"KUKURUZA",4254453171,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1500 WESTERN AVE, SEATTLE, WA 98101-1522","09/15/2018",856848,"POINT (-122.341188 47.608808)"
607857,"UN BIEN CARIBBEAN FOODS INC",2069927190,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","7302 1/2 15TH AVE NW, SEATTLE, WA 98117","07/15/2011",738771,"POINT (-122.376504 47.681677)"
613473,"CAFFE LADRO",2066341356,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","501 2ND AVE W # 200, SEATTLE, WA 98119-3983","12/14/2011",168875,"POINT (-122.35971 47.623446)"
784839,"KETTLE KINGDOM",2537669526,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1029 OCCIDENTAL AVE S, SEATTLE, WA 98134-1213","03/01/2023",866976,"POINT (-122.333684 47.593303)"
757382,"DRIP TEA",2063759559,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1416 10TH AVE, SEATTLE, WA 98122-3805","01/05/2020",844556,"POINT (-122.318785 47.613281)"
794248,"THE STATION COLUMBIA CITY",2069312863,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","3000 S ALASKA ST, SEATTLE, WA 98108-2270","03/01/2024",874405,"POINT (-122.292866 47.560972)"
793699,"EL ANTOJO LOKO",2066127485,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","12248 AURORA AVE N # B, SEATTLE, WA 98133-8180","03/01/2024",873943,"POINT (-122.344372 47.719217)"
773843,"EQUAL EXCHANGE",7747767400,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","14101 AURORA AVE N # A, SEATTLE, WA 98133","02/01/2021",741191,"POINT (-122.346761 47.731125)"
621231,"RUBIA ESPRESSO",2066676060,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1100 EASTLAKE AVE E, SEATTLE, WA 98109-4487","07/30/2012",159060,"POINT (-122.328766 47.6289)"
764720,"PEGASUS COFFEE BAR",8582540281,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","711 3RD AVE # 331, SEATTLE, WA 98104-1704","04/01/2020",850752,"POINT (-122.332878 47.603598)"
745290,"UPTOWN ESPRESSO - JUNCTION",2063914150,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4301 SW EDMUNDS ST, SEATTLE, WA 98116-4420","02/01/2019",834037,"POINT (-122.38754 47.559178)"
767875,"STARBUCKS COFFEE 3298",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1524 7TH AVE, SEATTLE, WA 98101-1704","04/26/2021",105444,"POINT (-122.333801 47.612589)"
769269,"LUSHBAR LLC",2532503200,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2231 2ND AVE, SEATTLE, WA 98121-2016","07/24/2021",854789,"POINT (-122.345632 47.613784)"
770660,"OM JUICE BAR",2534581235,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","6706 15TH AVE NW, SEATTLE, WA 98117-5507","10/01/2021",855929,"POINT (-122.376517 47.678035)"
732642,"FIREHOUSE COFFEE",2064969210,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2622 NW MARKET ST # D, SEATTLE, WA 98107-4106","07/01/2018",825245,"POINT (-122.391366 47.668917)"
792943,"AMAZONIA CAFE",2063499285,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4351 LEARY WAY NW, SEATTLE, WA 98107-4538","02/01/2024",873308,"POINT (-122.366584 47.660169)"
571875,"STARBUCKS COFFEE   14870",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","102 PIKE ST, SEATTLE, WA 98101","02/05/2009",105444,"POINT (-122.339782 47.60913)"
798095,"LEVANT CAFE 2",4254280554,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","400 PINE ST # 214, SEATTLE, WA 98101-1628","08/20/2024",877462,"POINT (-122.337172 47.611924)"
758215,"CAFFE LADRO",2066341356,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1222 NE 65TH ST, SEATTLE, WA 98115","05/01/2019",168875,"POINT (-122.314616 47.675963)"
778163,"AROOM",2068893555,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","3801 STONE WAY N, SEATTLE, WA 98103-8047","07/01/2022",861693,"POINT (-122.343166 47.6531)"
696014,"LA COPA",2063886095,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2410 NW 80TH ST, SEATTLE, WA 98117-4449","10/01/2016",798415,"POINT (-122.38792 47.686956)"
789571,"MACU TEA",2067719143,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1100 NE 45TH ST, SEATTLE, WA 98105-4683","10/08/2023",870646,"POINT (-122.316247 47.661583)"
118099,"STARBUCKS COFFEE   302",2065225228,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4634 26TH AVE NE, SEATTLE, WA 98105","01/01/1989",105444,"POINT (-122.299646 47.662544)"
765229,"REALFINE COFFEE",2068528434,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","7900 35TH AVE SW, SEATTLE, WA 98126-3405","12/26/2020",734518,"POINT (-122.37636 47.531784)"
767880,"STARBUCKS COFFEE 3702",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4000 E MADISON ST, SEATTLE, WA 98112-3160","04/26/2021",105444,"POINT (-122.28079 47.634121)"
741855,"BATCH BAKING COMPANY",2067538579,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1143 MARTIN LUTHER KING JR WAY # 68, SEATTLE, WA 98122-5051","01/02/2019",831826,"POINT (-122.296557 47.612725)"
