"OBJECTID","FULLNAME_L","FULLNAME_R","CITY_L","CITY_R","ZIP_L","ZIP_R","ROLL_LEN","Shape_Length","WKT"
102334,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98188,98188,93.402,93.4021951217501,"LINESTRING (-122.286658 47.463571, -122.286992 47.463691)"
102339,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,140.419,140.418912829152,"LINESTRING (-122.279783 47.518927, -122.279772 47.518768, -122.279767 47.518708, -122.279763 47.518664, -122.279751 47.518543)"
102340,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98168,98168,15156.603,15156.6028810457,"LINESTRING (-122.279751 47.518543, -122.279547 47.517832, -122.279394 47.517235, -122.279273 47.516691, -122.279064 47.515658, -122.279028 47.515412, -122.278926 47.51455, -122.27887 47.513727, -122.27884 47.513422, -122.278662 47.512224, -122.278472 47.51065, -122.278446 47.510331, -122.278431 47.510009, -122.278416 47.50932, -122.278425 47.509175, -122.278441 47.509058, -122.278473 47.508925, -122.278524 47.508779, -122.278592 47.508636, -122.278667 47.508511, -122.278776 47.508364, -122.278892 47.508236, -122.279035 47.508102, -122.279179 47.507989, -122.279353 47.507873, -122.279523 47.507777, -122.279722 47.507682, -122.279912 47.507606, -122.280173 47.507523, -122.280444 47.507458, -122.280722 47.507412, -122.281019 47.507382, -122.281339 47.507363, -122.287709 47.50704, -122.287926 47.507025, -122.288132 47.507006, -122.288295 47.506984, -122.288437 47.506959, -122.288596 47.506924, -122.28877 47.506876, -122.28892 47.506826, -122.289082 47.506762, -122.289237 47.50669, -122.289384 47.50661, -122.289521 47.506523, -122.289635 47.50644, -122.28974 47.506352, -122.289848 47.506247, -122.289944 47.506138, -122.290028 47.506023, -122.290091 47.505919, -122.29015 47.505798, -122.290196 47.505674, -122.290225 47.505562, -122.290247 47.505393, -122.290245 47.505223, -122.290218 47.505055, -122.290169 47.504889, -122.290066 47.504635, -122.289008 47.502247, -122.288862 47.501895, -122.288783 47.501668, -122.28872 47.50145, -122.288343 47.499963, -122.288263 47.499677, -122.288199 47.499492, -122.288127 47.499311, -122.288043 47.499133, -122.287949 47.498957, -122.287845 47.498784, -122.287715 47.498593, -122.287589 47.498426, -122.287436 47.498243, -122.287271 47.498065, -122.287094 47.497892, -122.286905 47.497724, -122.286728 47.497581, -122.286567 47.497459, -122.286399 47.497341, -122.286225 47.497227, -122.28602 47.497103, -122.285649 47.496899, -122.284548 47.496324, -122.284288 47.496176, -122.284059 47.496032, -122.283802 47.495847, -122.283673 47.495742, -122.28355 47.495633, -122.283341 47.495421, -122.283157 47.4952, -122.283 47.494969, -122.282869 47.49473, -122.282767 47.494485, -122.282688 47.494222, -122.282607 47.493829, -122.282171 47.491336, -122.282099 47.490949, -122.282029 47.490667, -122.281932 47.490388, -122.281817 47.490136, -122.281667 47.489869, -122.28149 47.489609, -122.281287 47.489359, -122.281059 47.489118, -122.280907 47.488976, -122.280757 47.488847, -122.280593 47.488716, -122.280388 47.488565, -122.276768 47.486036)"
104096,"ST Light Rail","ST Light Rail","Seattle","Seattle",98112,98112,11512.191,11512.1911292669,"LINESTRING (-122.320137 47.619814, -122.320136 47.620199, -122.320121 47.620448, -122.320092 47.620719, -122.320037 47.621033, -122.319974 47.621293, -122.319872 47.621619, -122.31975 47.621943, -122.319599 47.622285, -122.319417 47.622616, -122.319218 47.622937, -122.318996 47.623243, -122.318803 47.623483, -122.317459 47.625123, -122.31463 47.62857, -122.312358 47.631345, -122.310662 47.633416, -122.308606 47.635929, -122.308065 47.636588, -122.30767 47.637072, -122.307341 47.63747, -122.307004 47.637893, -122.306705 47.638287, -122.306448 47.638645, -122.306215 47.638979, -122.305961 47.639369, -122.305735 47.639743, -122.305488 47.640171, -122.305175 47.640765, -122.304899 47.641352, -122.304664 47.641899, -122.304475 47.642397, -122.30429 47.642936, -122.304131 47.643477, -122.303999 47.643989, -122.303877 47.644564, -122.303782 47.645108, -122.303714 47.6456, -122.303664 47.646097, -122.303633 47.646593, -122.303617 47.647139, -122.303624 47.647688, -122.30366 47.648786)"
104230,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,573.972,573.972349823134,"LINESTRING (-122.327173 47.589776, -122.327173 47.589594, -122.327175 47.589424, -122.327181 47.589306, -122.327191 47.589223, -122.327204 47.589141, -122.327233 47.589007, -122.327268 47.588873, -122.327306 47.588731, -122.327327 47.58865, -122.327347 47.588564, -122.327359 47.588502, -122.327372 47.588434, -122.327413 47.588214)"
104276,"ST Light Rail","ST Light Rail","Seattle","Seattle",98101,98101,125.453,125.452597979514,"LINESTRING (-122.333156 47.613143, -122.332727 47.613328)"
104598,"University of WA Sta AcRd","University of WA Sta AcRd","Seattle","Seattle",98195,98195,82.293,82.2933992425833,"LINESTRING (-122.303847 47.649522, -122.303843 47.649296)"
104599,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,193.488,193.487988382159,"LINESTRING (-122.303674 47.6493, -122.303826 47.648779)"
105090,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98168,98168,155.602,155.602417707888,"LINESTRING (-122.276768 47.486036, -122.27633 47.48573)"
105525,"ST Light Rail","ST Light Rail","Seattle","Seattle",98195,98195,191.557,191.557354318233,"LINESTRING (-122.30366 47.648786, -122.303843 47.649296)"
